weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_precip_mm,station_temp
26,2000-07-01,0.19288570000000002,0.13225710000000002,0.3408857,0.2472,25.41,23.590000000000032,22.03428571400002,34.150000000000034,19.950000000000045,43.19,92.4185714286,8.92857142857,3.0,26.53333333333333
27,2000-07-08,0.2168333,0.2761,0.28945709999999997,0.24165709999999999,60.61,23.484285714000066,22.208571429000017,33.450000000000045,17.950000000000045,46.0,93.5814285714,10.314285714299999,55.6,27.233333333333334
28,2000-07-15,0.1767571,0.1731286,0.20411429999999997,0.1280143,55.52,23.26571428599999,22.472857143,31.350000000000023,19.450000000000045,64.77,95.84857142860001,7.385714285710001,38.1,26.833333333333332
29,2000-07-22,0.2277286,0.14542860000000002,0.2542,0.20031429999999997,5.6,22.207142857000008,19.647142857000006,30.450000000000045,15.450000000000045,23.96,87.2342857143,9.114285714289998,30.0,23.988888888900004
30,2000-07-29,0.3286429,0.3221286,0.25437139999999997,0.3610429,62.76,23.282857143,20.80714285700003,33.85000000000002,18.350000000000023,31.8,88.1614285714,9.5,4.0,26.333333333333332
31,2000-08-05,0.2055286,0.1907571,0.2316714,0.2553143,16.24,24.041428570999983,18.575714285999993,33.05000000000001,15.350000000000023,1.0,74.72857142859999,13.771428571400001,11.5,24.78
32,2000-08-12,0.3124857,0.3299857,0.38058569999999997,0.38727140000000004,89.37,24.170000000000016,20.671428571000035,35.650000000000034,18.950000000000045,26.68,83.27571428569999,11.4714285714,72.9,26.97222222223333
33,2000-08-19,0.3841333,0.39224000000000003,0.34178000000000003,0.38275,42.08,24.477142857000047,20.842857143000003,34.75,17.450000000000045,16.9,82.49,13.7,50.1,26.694444444433334
34,2000-08-26,0.4081571,0.3221571,0.40671430000000003,0.3027143,49.22,25.088571429000012,19.754285714000048,36.950000000000045,18.150000000000034,5.59,74.74,13.771428571400001,89.2,26.633333333333336
35,2000-09-02,0.33204290000000003,0.3210571,0.3146143,0.32425709999999996,53.65,26.06857142900003,20.32285714300002,37.35000000000002,19.75,16.07,74.1514285714,12.457142857100001,78.0,27.0388888889
36,2000-09-09,0.2955857,0.2956833,0.3122143,0.26592859999999996,23.12,27.652857143000006,17.485714286000018,39.650000000000034,18.350000000000023,2.5,57.7871428571,14.9,56.9,28.622222222233333
