city,year,weekofyear,total_cases
sj,2008,18,1
sj,2008,19,3
sj,2008,20,4
sj,2008,21,5
sj,2008,22,8
sj,2008,23,17
sj,2008,24,19
sj,2008,25,20
sj,2008,26,22
sj,2008,27,27
sj,2008,28,29
sj,2008,29,41
sj,2008,30,52
sj,2008,31,63
sj,2008,32,63
sj,2008,33,66
sj,2008,34,60
sj,2008,35,55
sj,2008,36,49
sj,2008,37,51
sj,2008,38,46
sj,2008,39,46
sj,2008,40,45
sj,2008,41,43
sj,2008,42,42
sj,2008,43,43
sj,2008,44,42
sj,2008,45,42
sj,2008,46,43
sj,2008,47,42
sj,2008,48,37
sj,2008,49,32
sj,2008,50,32
sj,2008,51,31
sj,2008,52,38
sj,2009,1,45
sj,2009,2,53
sj,2009,3,54
sj,2009,4,52
sj,2009,5,43
sj,2009,6,33
sj,2009,7,25
sj,2009,8,19
sj,2009,9,14
sj,2009,10,10
sj,2009,11,8
sj,2009,12,5
sj,2009,13,2
sj,2009,14,3
sj,2009,15,3
sj,2009,16,3
sj,2009,17,3
sj,2009,18,3
sj,2009,19,4
sj,2009,20,6
sj,2009,21,7
sj,2009,22,8
sj,2009,23,9
sj,2009,24,10
sj,2009,25,11
sj,2009,26,14
sj,2009,27,16
sj,2009,28,19
sj,2009,29,22
sj,2009,30,25
sj,2009,31,29
sj,2009,32,32
sj,2009,33,36
sj,2009,34,40
sj,2009,35,43
sj,2009,36,45
sj,2009,37,47
sj,2009,38,50
sj,2009,39,53
sj,2009,40,53
sj,2009,41,54
sj,2009,42,55
sj,2009,43,54
sj,2009,44,53
sj,2009,45,52
sj,2009,46,52
sj,2009,47,49
sj,2009,48,45
sj,2009,49,40
sj,2009,50,34
sj,2009,51,33
sj,2009,52,31
sj,2010,53,30
sj,2010,1,30
sj,2010,2,30
sj,2010,3,25
sj,2010,4,22
sj,2010,5,18
sj,2010,6,15
sj,2010,7,12
sj,2010,8,9
sj,2010,9,7
sj,2010,10,4
sj,2010,11,3
sj,2010,12,1
sj,2010,13,0
sj,2010,14,0
sj,2010,15,0
sj,2010,16,0
sj,2010,17,0
sj,2010,18,0
sj,2010,19,0
sj,2010,20,4
sj,2010,21,18
sj,2010,22,27
sj,2010,23,36
sj,2010,24,51
sj,2010,25,51
sj,2010,26,49
sj,2010,27,60
sj,2010,28,64
sj,2010,29,63
sj,2010,30,67
sj,2010,31,71
sj,2010,32,67
sj,2010,33,70
sj,2010,34,71
sj,2010,35,70
sj,2010,36,69
sj,2010,37,71
sj,2010,38,72
sj,2010,39,76
sj,2010,40,79
sj,2010,41,80
sj,2010,42,79
sj,2010,43,74
sj,2010,44,66
sj,2010,45,58
sj,2010,46,52
sj,2010,47,46
sj,2010,48,41
sj,2010,49,40
sj,2010,50,40
sj,2010,51,41
sj,2011,52,44
sj,2011,1,47
sj,2011,2,44
sj,2011,3,37
sj,2011,4,29
sj,2011,5,20
sj,2011,6,13
sj,2011,7,9
sj,2011,8,6
sj,2011,9,2
sj,2011,10,0
sj,2011,11,0
sj,2011,12,0
sj,2011,13,0
sj,2011,14,0
sj,2011,15,0
sj,2011,16,0
sj,2011,17,3
sj,2011,18,14
sj,2011,19,17
sj,2011,20,15
sj,2011,21,10
sj,2011,22,12
sj,2011,23,6
sj,2011,24,8
sj,2011,25,9
sj,2011,26,12
sj,2011,27,14
sj,2011,28,14
sj,2011,29,16
sj,2011,30,19
sj,2011,31,22
sj,2011,32,26
sj,2011,33,30
sj,2011,34,35
sj,2011,35,37
sj,2011,36,40
sj,2011,37,42
sj,2011,38,46
sj,2011,39,47
sj,2011,40,45
sj,2011,41,44
sj,2011,42,43
sj,2011,43,42
sj,2011,44,38
sj,2011,45,38
sj,2011,46,39
sj,2011,47,36
sj,2011,48,34
sj,2011,49,33
sj,2011,50,32
sj,2011,51,36
sj,2012,52,43
sj,2012,1,43
sj,2012,2,42
sj,2012,3,39
sj,2012,4,30
sj,2012,5,19
sj,2012,6,13
sj,2012,7,11
sj,2012,8,9
sj,2012,9,8
sj,2012,10,12
sj,2012,11,18
sj,2012,12,28
sj,2012,13,32
sj,2012,14,34
sj,2012,15,32
sj,2012,16,31
sj,2012,17,28
sj,2012,18,35
sj,2012,19,39
sj,2012,20,36
sj,2012,21,26
sj,2012,22,11
sj,2012,23,0
sj,2012,24,0
sj,2012,25,0
sj,2012,26,0
sj,2012,27,3
sj,2012,28,5
sj,2012,29,8
sj,2012,30,14
sj,2012,31,18
sj,2012,32,22
sj,2012,33,26
sj,2012,34,30
sj,2012,35,32
sj,2012,36,33
sj,2012,37,36
sj,2012,38,39
sj,2012,39,42
sj,2012,40,43
sj,2012,41,44
sj,2012,42,45
sj,2012,43,44
sj,2012,44,42
sj,2012,45,40
sj,2012,46,39
sj,2012,47,35
sj,2012,48,30
sj,2012,49,26
sj,2012,50,23
sj,2012,51,20
sj,2013,1,18
sj,2013,2,17
sj,2013,3,15
sj,2013,4,12
sj,2013,5,8
sj,2013,6,5
sj,2013,7,3
sj,2013,8,1
sj,2013,9,0
sj,2013,10,0
sj,2013,11,0
sj,2013,12,0
sj,2013,13,0
sj,2013,14,0
sj,2013,15,0
sj,2013,16,0
sj,2013,17,0
iq,2010,26,0
iq,2010,27,0
iq,2010,28,0
iq,2010,29,1
iq,2010,30,1
iq,2010,31,1
iq,2010,32,1
iq,2010,33,0
iq,2010,34,0
iq,2010,35,1
iq,2010,36,1
iq,2010,37,1
iq,2010,38,2
iq,2010,39,2
iq,2010,40,2
iq,2010,41,2
iq,2010,42,3
iq,2010,43,3
iq,2010,44,3
iq,2010,45,3
iq,2010,46,2
iq,2010,47,4
iq,2010,48,6
iq,2010,49,6
iq,2010,50,5
iq,2010,51,5
iq,2011,52,4
iq,2011,1,3
iq,2011,2,4
iq,2011,3,5
iq,2011,4,6
iq,2011,5,6
iq,2011,6,6
iq,2011,7,6
iq,2011,8,4
iq,2011,9,3
iq,2011,10,3
iq,2011,11,2
iq,2011,12,2
iq,2011,13,2
iq,2011,14,3
iq,2011,15,3
iq,2011,16,3
iq,2011,17,3
iq,2011,18,3
iq,2011,19,3
iq,2011,20,3
iq,2011,21,3
iq,2011,22,3
iq,2011,23,3
iq,2011,24,3
iq,2011,25,3
iq,2011,26,3
iq,2011,27,3
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,4
iq,2011,37,4
iq,2011,38,5
iq,2011,39,6
iq,2011,40,7
iq,2011,41,8
iq,2011,42,9
iq,2011,43,9
iq,2011,44,10
iq,2011,45,10
iq,2011,46,9
iq,2011,47,11
iq,2011,48,13
iq,2011,49,12
iq,2011,50,12
iq,2011,51,12
iq,2012,52,12
iq,2012,1,10
iq,2012,2,12
iq,2012,3,13
iq,2012,4,14
iq,2012,5,14
iq,2012,6,14
iq,2012,7,14
iq,2012,8,12
iq,2012,9,11
iq,2012,10,10
iq,2012,11,10
iq,2012,12,9
iq,2012,13,9
iq,2012,14,9
iq,2012,15,9
iq,2012,16,9
iq,2012,17,9
iq,2012,18,9
iq,2012,19,9
iq,2012,20,9
iq,2012,21,8
iq,2012,22,8
iq,2012,23,8
iq,2012,24,7
iq,2012,25,7
iq,2012,26,7
iq,2012,27,7
iq,2012,28,7
iq,2012,29,7
iq,2012,30,7
iq,2012,31,7
iq,2012,32,7
iq,2012,33,7
iq,2012,34,7
iq,2012,35,8
iq,2012,36,8
iq,2012,37,8
iq,2012,38,9
iq,2012,39,8
iq,2012,40,9
iq,2012,41,9
iq,2012,42,10
iq,2012,43,10
iq,2012,44,11
iq,2012,45,10
iq,2012,46,10
iq,2012,47,11
iq,2012,48,13
iq,2012,49,13
iq,2012,50,12
iq,2012,51,13
iq,2013,1,12
iq,2013,2,11
iq,2013,3,12
iq,2013,4,13
iq,2013,5,13
iq,2013,6,13
iq,2013,7,12
iq,2013,8,11
iq,2013,9,9
iq,2013,10,9
iq,2013,11,8
iq,2013,12,7
iq,2013,13,7
iq,2013,14,7
iq,2013,15,7
iq,2013,16,7
iq,2013,17,7
iq,2013,18,7
iq,2013,19,6
iq,2013,20,6
iq,2013,21,6
iq,2013,22,5
iq,2013,23,5
iq,2013,24,5
iq,2013,25,5
iq,2013,26,5
