city,year,weekofyear,total_cases
sj,2008,18,0
sj,2008,19,1
sj,2008,20,3
sj,2008,21,5
sj,2008,22,6
sj,2008,23,8
sj,2008,24,9
sj,2008,25,10
sj,2008,26,12
sj,2008,27,13
sj,2008,28,14
sj,2008,29,15
sj,2008,30,16
sj,2008,31,17
sj,2008,32,18
sj,2008,33,18
sj,2008,34,20
sj,2008,35,21
sj,2008,36,22
sj,2008,37,23
sj,2008,38,23
sj,2008,39,24
sj,2008,40,25
sj,2008,41,25
sj,2008,42,26
sj,2008,43,26
sj,2008,44,27
sj,2008,45,27
sj,2008,46,27
sj,2008,47,27
sj,2008,48,26
sj,2008,49,25
sj,2008,50,25
sj,2008,51,24
sj,2008,52,23
sj,2009,1,21
sj,2009,2,20
sj,2009,3,19
sj,2009,4,18
sj,2009,5,16
sj,2009,6,15
sj,2009,7,14
sj,2009,8,13
sj,2009,9,12
sj,2009,10,11
sj,2009,11,10
sj,2009,12,9
sj,2009,13,9
sj,2009,14,9
sj,2009,15,10
sj,2009,16,10
sj,2009,17,11
sj,2009,18,11
sj,2009,19,12
sj,2009,20,13
sj,2009,21,15
sj,2009,22,16
sj,2009,23,18
sj,2009,24,19
sj,2009,25,21
sj,2009,26,23
sj,2009,27,25
sj,2009,28,27
sj,2009,29,29
sj,2009,30,32
sj,2009,31,34
sj,2009,32,36
sj,2009,33,38
sj,2009,34,40
sj,2009,35,42
sj,2009,36,44
sj,2009,37,46
sj,2009,38,47
sj,2009,39,49
sj,2009,40,51
sj,2009,41,53
sj,2009,42,55
sj,2009,43,56
sj,2009,44,57
sj,2009,45,58
sj,2009,46,58
sj,2009,47,59
sj,2009,48,59
sj,2009,49,59
sj,2009,50,59
sj,2009,51,59
sj,2009,52,59
sj,2010,53,59
sj,2010,1,59
sj,2010,2,59
sj,2010,3,58
sj,2010,4,58
sj,2010,5,58
sj,2010,6,57
sj,2010,7,57
sj,2010,8,57
sj,2010,9,57
sj,2010,10,56
sj,2010,11,56
sj,2010,12,57
sj,2010,13,57
sj,2010,14,58
sj,2010,15,58
sj,2010,16,58
sj,2010,17,59
sj,2010,18,60
sj,2010,19,61
sj,2010,20,62
sj,2010,21,63
sj,2010,22,65
sj,2010,23,67
sj,2010,24,68
sj,2010,25,70
sj,2010,26,72
sj,2010,27,74
sj,2010,28,75
sj,2010,29,77
sj,2010,30,78
sj,2010,31,80
sj,2010,32,81
sj,2010,33,82
sj,2010,34,82
sj,2010,35,83
sj,2010,36,83
sj,2010,37,82
sj,2010,38,82
sj,2010,39,81
sj,2010,40,81
sj,2010,41,81
sj,2010,42,80
sj,2010,43,79
sj,2010,44,78
sj,2010,45,77
sj,2010,46,75
sj,2010,47,73
sj,2010,48,71
sj,2010,49,69
sj,2010,50,66
sj,2010,51,64
sj,2011,52,61
sj,2011,1,58
sj,2011,2,55
sj,2011,3,53
sj,2011,4,49
sj,2011,5,46
sj,2011,6,43
sj,2011,7,39
sj,2011,8,36
sj,2011,9,33
sj,2011,10,30
sj,2011,11,27
sj,2011,12,24
sj,2011,13,22
sj,2011,14,21
sj,2011,15,19
sj,2011,16,18
sj,2011,17,17
sj,2011,18,16
sj,2011,19,15
sj,2011,20,15
sj,2011,21,15
sj,2011,22,15
sj,2011,23,15
sj,2011,24,15
sj,2011,25,15
sj,2011,26,16
sj,2011,27,17
sj,2011,28,18
sj,2011,29,19
sj,2011,30,20
sj,2011,31,22
sj,2011,32,23
sj,2011,33,24
sj,2011,34,25
sj,2011,35,26
sj,2011,36,26
sj,2011,37,27
sj,2011,38,28
sj,2011,39,29
sj,2011,40,31
sj,2011,41,32
sj,2011,42,32
sj,2011,43,33
sj,2011,44,33
sj,2011,45,33
sj,2011,46,33
sj,2011,47,33
sj,2011,48,32
sj,2011,49,31
sj,2011,50,30
sj,2011,51,30
sj,2012,52,29
sj,2012,1,27
sj,2012,2,26
sj,2012,3,25
sj,2012,4,24
sj,2012,5,23
sj,2012,6,21
sj,2012,7,21
sj,2012,8,20
sj,2012,9,20
sj,2012,10,20
sj,2012,11,20
sj,2012,12,20
sj,2012,13,21
sj,2012,14,21
sj,2012,15,23
sj,2012,16,24
sj,2012,17,25
sj,2012,18,27
sj,2012,19,28
sj,2012,20,30
sj,2012,21,32
sj,2012,22,35
sj,2012,23,37
sj,2012,24,40
sj,2012,25,43
sj,2012,26,46
sj,2012,27,49
sj,2012,28,52
sj,2012,29,55
sj,2012,30,58
sj,2012,31,62
sj,2012,32,64
sj,2012,33,67
sj,2012,34,70
sj,2012,35,73
sj,2012,36,75
sj,2012,37,77
sj,2012,38,78
sj,2012,39,80
sj,2012,40,81
sj,2012,41,82
sj,2012,42,83
sj,2012,43,84
sj,2012,44,84
sj,2012,45,84
sj,2012,46,84
sj,2012,47,84
sj,2012,48,84
sj,2012,49,83
sj,2012,50,82
sj,2012,51,82
sj,2013,1,81
sj,2013,2,80
sj,2013,3,79
sj,2013,4,78
sj,2013,5,78
sj,2013,6,77
sj,2013,7,76
sj,2013,8,75
sj,2013,9,74
sj,2013,10,73
sj,2013,11,72
sj,2013,12,71
sj,2013,13,69
sj,2013,14,69
sj,2013,15,68
sj,2013,16,67
sj,2013,17,66
iq,2010,26,0
iq,2010,27,0
iq,2010,28,0
iq,2010,29,0
iq,2010,30,0
iq,2010,31,1
iq,2010,32,1
iq,2010,33,1
iq,2010,34,1
iq,2010,35,1
iq,2010,36,2
iq,2010,37,2
iq,2010,38,2
iq,2010,39,2
iq,2010,40,2
iq,2010,41,2
iq,2010,42,3
iq,2010,43,3
iq,2010,44,3
iq,2010,45,4
iq,2010,46,4
iq,2010,47,4
iq,2010,48,4
iq,2010,49,4
iq,2010,50,4
iq,2010,51,5
iq,2011,52,5
iq,2011,1,5
iq,2011,2,5
iq,2011,3,5
iq,2011,4,5
iq,2011,5,5
iq,2011,6,5
iq,2011,7,4
iq,2011,8,4
iq,2011,9,4
iq,2011,10,4
iq,2011,11,4
iq,2011,12,4
iq,2011,13,4
iq,2011,14,3
iq,2011,15,3
iq,2011,16,3
iq,2011,17,3
iq,2011,18,3
iq,2011,19,3
iq,2011,20,2
iq,2011,21,2
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,2
iq,2011,26,2
iq,2011,27,2
iq,2011,28,3
