city,year,weekofyear,total_cases
sj,2008,18,46
sj,2008,19,44
sj,2008,20,44
sj,2008,21,43
sj,2008,22,42
sj,2008,23,41
sj,2008,24,40
sj,2008,25,39
sj,2008,26,38
sj,2008,27,38
sj,2008,28,37
sj,2008,29,36
sj,2008,30,35
sj,2008,31,34
sj,2008,32,34
sj,2008,33,33
sj,2008,34,32
sj,2008,35,30
sj,2008,36,28
sj,2008,37,27
sj,2008,38,26
sj,2008,39,24
sj,2008,40,23
sj,2008,41,22
sj,2008,42,21
sj,2008,43,21
sj,2008,44,20
sj,2008,45,20
sj,2008,46,20
sj,2008,47,20
sj,2008,48,20
sj,2008,49,21
sj,2008,50,21
sj,2008,51,22
sj,2008,52,23
sj,2009,1,23
sj,2009,2,24
sj,2009,3,25
sj,2009,4,26
sj,2009,5,27
sj,2009,6,29
sj,2009,7,30
sj,2009,8,31
sj,2009,9,33
sj,2009,10,35
sj,2009,11,36
sj,2009,12,37
sj,2009,13,39
sj,2009,14,40
sj,2009,15,40
sj,2009,16,41
sj,2009,17,41
sj,2009,18,41
sj,2009,19,42
sj,2009,20,42
sj,2009,21,42
sj,2009,22,42
sj,2009,23,42
sj,2009,24,41
sj,2009,25,41
sj,2009,26,40
sj,2009,27,39
sj,2009,28,38
sj,2009,29,37
sj,2009,30,36
sj,2009,31,34
sj,2009,32,33
sj,2009,33,31
sj,2009,34,30
sj,2009,35,28
sj,2009,36,27
sj,2009,37,25
sj,2009,38,24
sj,2009,39,23
sj,2009,40,21
sj,2009,41,21
sj,2009,42,19
sj,2009,43,19
sj,2009,44,18
sj,2009,45,18
sj,2009,46,18
sj,2009,47,18
sj,2009,48,18
sj,2009,49,18
sj,2009,50,19
sj,2009,51,19
sj,2009,52,20
sj,2010,53,21
sj,2010,1,22
sj,2010,2,23
sj,2010,3,24
sj,2010,4,25
sj,2010,5,27
sj,2010,6,29
sj,2010,7,30
sj,2010,8,32
sj,2010,9,34
sj,2010,10,36
sj,2010,11,37
sj,2010,12,39
sj,2010,13,40
sj,2010,14,42
sj,2010,15,43
sj,2010,16,42
sj,2010,17,43
sj,2010,18,43
sj,2010,19,44
sj,2010,20,44
sj,2010,21,44
sj,2010,22,44
sj,2010,23,45
sj,2010,24,44
sj,2010,25,44
sj,2010,26,43
sj,2010,27,43
sj,2010,28,42
sj,2010,29,41
sj,2010,30,39
sj,2010,31,38
sj,2010,32,37
sj,2010,33,36
sj,2010,34,35
sj,2010,35,33
sj,2010,36,31
sj,2010,37,30
sj,2010,38,28
sj,2010,39,27
sj,2010,40,25
sj,2010,41,24
sj,2010,42,23
sj,2010,43,22
sj,2010,44,21
sj,2010,45,20
sj,2010,46,20
sj,2010,47,20
sj,2010,48,20
sj,2010,49,20
sj,2010,50,21
sj,2010,51,21
sj,2011,52,22
sj,2011,1,23
sj,2011,2,24
sj,2011,3,24
sj,2011,4,26
sj,2011,5,27
sj,2011,6,29
sj,2011,7,31
sj,2011,8,33
sj,2011,9,35
sj,2011,10,38
