city,year,weekofyear,total_cases
sj,2008,18,44
sj,2008,19,43
sj,2008,20,42
sj,2008,21,41
sj,2008,22,40
sj,2008,23,39
sj,2008,24,38
sj,2008,25,37
sj,2008,26,36
sj,2008,27,36
sj,2008,28,35
sj,2008,29,34
sj,2008,30,34
sj,2008,31,33
sj,2008,32,32
sj,2008,33,32
sj,2008,34,31
sj,2008,35,29
sj,2008,36,27
sj,2008,37,26
sj,2008,38,25
sj,2008,39,24
sj,2008,40,23
sj,2008,41,22
sj,2008,42,21
sj,2008,43,20
sj,2008,44,20
sj,2008,45,20
sj,2008,46,20
sj,2008,47,20
sj,2008,48,21
sj,2008,49,21
sj,2008,50,22
sj,2008,51,23
sj,2008,52,24
sj,2009,1,25
sj,2009,2,26
sj,2009,3,28
sj,2009,4,29
sj,2009,5,30
sj,2009,6,31
sj,2009,7,33
sj,2009,8,34
sj,2009,9,35
sj,2009,10,37
sj,2009,11,38
sj,2009,12,39
sj,2009,13,40
sj,2009,14,41
sj,2009,15,41
sj,2009,16,42
sj,2009,17,42
sj,2009,18,42
sj,2009,19,42
sj,2009,20,41
sj,2009,21,41
sj,2009,22,41
sj,2009,23,41
sj,2009,24,40
sj,2009,25,40
sj,2009,26,39
sj,2009,27,38
sj,2009,28,37
sj,2009,29,35
sj,2009,30,34
sj,2009,31,32
sj,2009,32,31
sj,2009,33,29
sj,2009,34,27
sj,2009,35,25
sj,2009,36,24
sj,2009,37,22
sj,2009,38,20
sj,2009,39,20
sj,2009,40,18
sj,2009,41,17
sj,2009,42,16
sj,2009,43,15
sj,2009,44,15
sj,2009,45,14
sj,2009,46,14
sj,2009,47,14
sj,2009,48,15
sj,2009,49,15
sj,2009,50,16
sj,2009,51,17
sj,2009,52,17
sj,2010,53,18
sj,2010,1,19
sj,2010,2,20
sj,2010,3,22
sj,2010,4,23
sj,2010,5,25
sj,2010,6,26
sj,2010,7,28
sj,2010,8,30
sj,2010,9,31
sj,2010,10,33
sj,2010,11,35
sj,2010,12,37
sj,2010,13,38
sj,2010,14,40
sj,2010,15,41
sj,2010,16,40
sj,2010,17,41
sj,2010,18,41
sj,2010,19,42
sj,2010,20,42
sj,2010,21,43
sj,2010,22,43
sj,2010,23,43
sj,2010,24,43
sj,2010,25,42
sj,2010,26,42
sj,2010,27,41
sj,2010,28,40
sj,2010,29,39
sj,2010,30,38
sj,2010,31,37
sj,2010,32,36
sj,2010,33,35
sj,2010,34,33
sj,2010,35,32
sj,2010,36,31
sj,2010,37,30
sj,2010,38,28
sj,2010,39,27
sj,2010,40,26
sj,2010,41,25
sj,2010,42,24
sj,2010,43,23
sj,2010,44,22
sj,2010,45,21
sj,2010,46,21
sj,2010,47,21
sj,2010,48,21
sj,2010,49,21
sj,2010,50,22
sj,2010,51,22
sj,2011,52,23
sj,2011,1,24
sj,2011,2,25
sj,2011,3,26
sj,2011,4,27
sj,2011,5,28
sj,2011,6,30
sj,2011,7,32
sj,2011,8,34
sj,2011,9,36
sj,2011,10,38
sj,2011,11,41
sj,2011,12,43
sj,2011,13,45
sj,2011,14,46
sj,2011,15,48
sj,2011,16,48
sj,2011,17,49
sj,2011,18,49
sj,2011,19,49
sj,2011,20,49
sj,2011,21,49
sj,2011,22,49
sj,2011,23,49
sj,2011,24,48
sj,2011,25,48
sj,2011,26,47
sj,2011,27,46
sj,2011,28,45
sj,2011,29,44
sj,2011,30,42
sj,2011,31,41
sj,2011,32,39
sj,2011,33,37
sj,2011,34,36
sj,2011,35,34
sj,2011,36,32
